8 100
183 0++-0+00 +0+00+-+
27 +0+00++- 0++0+-+-
149 --0+++-0 0-++0+0+
185 +--000-0 -+++-++-
88 ++0++0++ +--+--0+
24 +-+--+0- 00--+0+0
88 -0-+-+0- 0-0-00++
172 ++00+0-0 00--0+0+
80 0+0---00 0+00-0-0
122 +---+0+- +-0-+--+
27 00--0+-+ +++0+000
193 ---0--+0 -+-+-+-0
58 --0-+0++ +++00+--
50 0000+-+- 0-+++++-
89 ---+-+++ 00-0-+--
183 -0-+--0+ -0++----
115 00-+0+0+ +++0--00
123 +-0+0-++ -0000+++
27 -0000--- -++----0
107 +0++-+0- +0++-+++
18 -+0+0++- 0-0-0-++
74 -+0++0++ +-++00+0
12 +-+00-++ 0+---+0+
53 0+--++-0 +0-+0+-0
24 -0-00+00 -++-0++0
92 000+00-0 ++0-0+0+
159 00----0- ++++0+-0
102 0-0-+--0 0++-+++0
73 -+00+0-+ -00+-+00
136 ++-+0+-- +++--+--
127 +--0+++0 ++00+-+0
164 0+--0++- -++0+0++
81 +-+0---+ 00-+-0--
85 +0000-+0 +0+++-+0
152 0+-0-++0 -000--+0
81 00--+++0 ++++-0--
66 -+++-++0 -0+0-000
76 -+-0++-+ +0+-+0-+
20 0+00++-0 0+0+++++
120 0+-----+ -0-+0--0
29 -+------ +-+--0++
153 ++0-+0+- 0-000++-
185 -+-00--0 +++++0-0
17 ----0+++ 00-+++0-
87 --+0+00+ +-0-+-+0
182 0+0++00+ +0-+-0--
9 0-++---- 0+0-0+-0
192 +++---0+ 00--++00
135 00+++--- 0--+0+-0
137 -0++0-00 --++-+0+
58 0+--0-+- 0-000+--
177 00-+0--0 0--00-00
13 0-0--0-- +-00+++0
56 -+-00--- -+-++000
198 0+0+--+- +0++0+0+
103 +++00-0+ +0+0-++-
172 +++--00+ 0-0--0-+
89 --00-0++ +-00--00
30 ++++---0 +0---++-
141 -000000+ ---+++0+
35 0-+0+-0+ 0++-0+00
198 0-+0-+0+ 0+00+0+0
155 00-000++ 00--+++0
4 -00-+0-+ 0000+0--
17 0+---+++ 0-+-0-+-
89 ++-00-+0 -+-0-0-+
5 -0++0-0- +-0+0+0-
14 -0+0+0+- +0+0000+

0 0
